Ticker,Name,Latest,Change,%Change,High,Low,Volume,Time,CIK
AAMI,Acadian Asset Management Inc,47.54,-0.53,-1.10%,48.23,47.49,119900,12/30/25,1748824
AAP,Advance Auto Parts Inc,39.64,-0.23,-0.58%,40.3,39.27,2167100,12/30/25,1158449
AAT,American Assets Trust,19.05,-0.03,-0.16%,19.21,19.02,304100,12/30/25,1500217
ABCB,Ameris Bancorp,75.24,-0.62,-0.82%,75.75,74.8,435700,12/30/25,351569
ABG,Asbury Automotive Group Inc,236.52,-3.29,-1.37%,240,236.35,145900,12/30/25,1144980
ABM,ABM Industries Inc,42.7,-0.2,-0.47%,43.06,42.41,557100,12/30/25,771497
ABR,Arbor Realty Trust,7.77,-0.06,-0.77%,7.9381,7.76,3884100,12/30/25,1253986
ACA,Arcosa Inc,108.05,-1.25,-1.14%,109.955,108.05,120800,12/30/25,1739445
ACAD,Acadia Pharmaceutica,26.7,-0.56,-2.05%,27.3,26.66,1048000,12/30/25,1070494
ACHC,Acadia Healthcr Company,14.61,0.11,0.76%,14.74,14.36,2111800,12/30/25,1520697
ACIW,Aci Worldwide Inc,48.12,-0.48,-0.99%,48.76,48.09,333200,12/30/25,935036
ACLS,Axcelis Tech Inc,81.55,-0.27,-0.33%,82.64,81.36,163500,12/30/25,1113232
ACMR,Acm Research Inc,40.2,0.23,0.58%,43.78,39.95,1518800,12/30/25,1680062
ACT,Enact Holdings Inc,40.04,-0.06,-0.15%,40.16,39.88,112800,12/30/25,1823529
ADAM,Adamas Trust Inc,7.27,-0.03,-0.41%,7.35,7.24,486000,12/30/25,1273685
ADEA,Adeia Inc,17.61,0.3,1.73%,17.88,17.32,851400,12/30/25,1803696
ADMA,Adma Biologics,18.36,-0.75,-3.92%,19.19,18.32,1890100,12/30/25,1368514
ADNT,Adient Plc,19.47,0.1,0.52%,19.6461,19.24,687400,12/30/25,1670541
ADUS,Addus Homecare Corp,108.63,-1.48,-1.34%,109.46,108.15,112200,12/30/25,1468328
AEIS,Advanced Energy,213.41,-3.85,-1.77%,218.87,211.66,287000,12/30/25,927003
AEO,American Eagle Outfitters,26.69,-0.24,-0.89%,27.02,26.2,4532400,12/30/25,919012
AESI,Atlas Energy Solutions Inc Cl A,9.63,0.09,0.94%,9.8,9.46,2738400,12/30/25,1984060
AGO,Assured Guaranty Ltd,90.67,0.08,0.09%,91.29,90.36,238100,12/30/25,1273813
AGYS,Agilysys Inc,119.45,-2.95,-2.41%,123.93,119.37,195400,12/30/25,78749
AHCO,Adapthealth Corp Cl. A,10.12,-0.05,-0.49%,10.38,10.03,908600,12/30/25,1725255
AHH,Armada Hoffler Properties Inc,6.7,0.01,0.15%,6.765,6.68,1043200,12/30/25,1569187
AIN,Albany International Corp,51.53,-0.38,-0.73%,52.39,51.245,196600,12/30/25,819793
AIR,AAR Corp,83.52,-0.99,-1.17%,84.96,83.4,242000,12/30/25,1750
AKR,Acadia Realty Trust,20.8,-0.12,-0.57%,21.07,20.79,1759900,12/30/25,899629
AL,Air Lease Corp Cl A,64.26,0.16,0.25%,64.29,64.11,537900,12/30/25,1487712
ALEX,Alexander and Baldwin Inc,20.63,-0.09,-0.43%,20.73,20.62,522600,12/30/25,1545654
ALG,Alamo Group,170.57,-1.77,-1.03%,173,170.54,61200,12/30/25,897077
ALGT,Allegiant Travel Com,86.89,2.24,2.65%,87.45,84.12,231900,12/30/25,1362468
ALKS,Alkermes Plc,27.81,-0.2,-0.71%,28.15,27.66,1230900,12/30/25,1520262
ALRM,Alarm.com,51.77,-0.05,-0.10%,52.12,51.37,212900,12/30/25,1459200
AMN,Amn Healthcare Services Inc,16.03,0.13,0.82%,16.189,15.71,674200,12/30/25,1142750
AMPH,Amphastar Pharma,27,0.21,0.78%,27.16,26.73,251500,12/30/25,1297184
AMR,Alpha Metallurgical Resources Inc,202.11,-3.29,-1.60%,208.02,200.545,118400,12/30/25,1704715
AMSF,Amerisafe Inc,38.48,0.11,0.29%,38.76,37.89,111700,12/30/25,1018979
AMTM,Amentum Holdings Inc,29.3,0.1,0.34%,29.65,28.89,1242500,12/30/25,2011286
AMWD,Amer Woodmark Corp,53.85,-0.7,-1.28%,55.08,53.83,79000,12/30/25,794619
ANDE,Andersons Inc,53.47,-0.16,-0.30%,54.32,53.34,247200,12/30/25,821026
ANGI,Angi Inc,13,0.23,1.80%,13.06,12.59,569300,12/30/25,1705110
ANIP,ANI Pharma Inc,79.42,-1.96,-2.41%,81.5,79.31,584900,12/30/25,1023024
AORT,Artivion Inc,45.99,-0.34,-0.73%,46.24,45.63,175100,12/30/25,784199
AOSL,Alpha and Omega Semi,19.97,-0.14,-0.70%,20.2,19.94,302400,12/30/25,1387467
APAM,Artisan Partners Asset Mgmt,41.03,-0.67,-1.61%,41.7,41.01,242200,12/30/25,1517302
APLE,Apple Hospitality REIT Inc,11.98,-0.06,-0.50%,12.08,11.98,1433600,12/30/25,1418121
APOG,Apogee Entrpr Inc,36.9,0.18,0.49%,37.05,36.31,463600,12/30/25,6845
ARCB,Arcbest Corp,75.5,-1.39,-1.81%,77.31,75.4,220200,12/30/25,894405
ARI,Apollo Commercial Real Estate,9.92,0,0.00%,9.97,9.885,986800,12/30/25,1467760
ARLO,Arlo Technologies Inc,13.9,-0.21,-1.49%,14.14,13.865,635100,12/30/25,1736946
AROC,Archrock Inc,26.25,0.3,1.16%,26.355,25.975,1085200,12/30/25,1389050
ARR,Armour Residential R,17.54,-0.02,-0.11%,17.6,17.465,1686400,12/30/25,1428205
ARWR,Arrowhead Pharma,67.25,-2.37,-3.40%,69.66,65.94,1334600,12/30/25,879407
ASIX,Advansix Inc,17.56,0.38,2.21%,17.685,17.1,369700,12/30/25,1673985
ASO,Academy Sports and Outdoors Inc,49.56,-0.56,-1.12%,50.69,49.36,1444600,12/30/25,1817358
ASTE,Astec Inds Inc,43.96,-1.24,-2.74%,45.22,43.91,343800,12/30/25,792987
ASTH,Astrana Health Inc,24.97,-0.21,-0.83%,25.34,24.94,415300,12/30/25,1083446
ATEN,A10 Networks Inc,17.93,-0.12,-0.66%,18.11,17.93,369000,12/30/25,1580808
ATGE,Adtalem Global Education Inc,104,-0.53,-0.51%,104.735,103.59,322200,12/30/25,730464
AUB,Atlantic Union Bancshares Corp,35.54,-0.62,-1.71%,36.24,35.52,736900,12/30/25,883948
AVA,Avista Corp,38.71,0.08,0.21%,38.75,38.55,368600,12/30/25,104918
AVNS,Avanos Medical Inc,11.3,-0.01,-0.09%,11.46,11.26,427000,12/30/25,1606498
AWI,Armstrong World Industries Inc,192.3,0.15,0.08%,192.78,191.43,328800,12/30/25,7431
AWR,American States Water Company,73.11,0.03,0.04%,73.5,72.9531,103100,12/30/25,1056903
AX,Axos Financial Inc,86.76,-0.83,-0.95%,87.715,86.56,252500,12/30/25,1299709
AXL,American Axle & Manufacturing,6.45,-0.02,-0.31%,6.52,6.415,864200,12/30/25,1062231
AZTA,Azenta Inc,34,-0.68,-1.96%,34.71,33.98,406300,12/30/25,933974
AZZ,Azz Inc,108.89,-0.73,-0.67%,110.145,108.4,114400,12/30/25,8947
BANC,First Pactrust Bancorp,19.44,-0.19,-0.97%,19.73,19.365,1551800,12/30/25,1169770
BANF,Bancfirst Corp,108.06,-0.24,-0.22%,108.81,107.24,88400,12/30/25,760498
BANR,Banner Corp,63.15,-0.9,-1.41%,63.88,63.14,110900,12/30/25,946673
BBT,Beacon Financial Corporation,26.49,-0.14,-0.53%,26.605,26.38,481100,12/30/25,1108134
BCC,Boise Cascade L.L.C.,73.79,-0.74,-0.99%,74.99,73.66,187800,12/30/25,1328581
BCPC,Balchem Corp,154.56,-2.12,-1.35%,156.88,154.52,92500,12/30/25,9326
BDN,Brandywine Realty Trust,2.97,0.05,1.71%,2.97,2.89,4088700,12/30/25,790816
BFH,Bread Financial Hldgs Inc,74.61,-0.57,-0.76%,75.32,74.34,379300,12/30/25,1101215
BFS,Saul Centers,31.57,0.02,0.06%,31.82,31.5,66000,12/30/25,907254
BGC,Bgc Partners Cl A,9.03,-0.06,-0.66%,9.1,9.02,1662400,12/30/25,1094831
BHE,Benchmark Electronics,43.64,-0.82,-1.84%,44.33,43.63,174200,12/30/25,863436
BJRI,Bj's Restaurants Inc,39.29,-0.48,-1.21%,40.05,39.25,278000,12/30/25,1013488
BKE,Buckle Inc,53.7,-0.17,-0.32%,54.23,53.4,356900,12/30/25,885245
